"","topic","label"
"1",1,"1_старик девица красный молодой старый"
"2",2,"2_брат два жена муж другой"
"3",3,"3_искать исчезать везде дух след"
"4",4,"4_дева прекрасный краса чистый молодой"
"5",5,"5_бог давать сила боже господь"
"6",6,"6_слава великий герой отечество россия"
"7",7,"7_человек свет век жить мир"
"8",8,"8_звезда небо луна ночь луч"
"9",9,"9_час ждать прийти последний спешить"
"10",10,"10_пора день память помнить забывать"
"11",11,"11_святой молитва вера храм божий"
"12",12,"12_любовь сердце страсть кровь чувство"
"13",13,"13_меч бой враг герой поле"
"14",14,"14_видеть глаз смотреть едва слышать"
"15",15,"15_пить вино чаша пир гость"
"16",16,"16_древний век храм москва глава"
"17",17,"17_любить сердце жить любовь милый"
"18",18,"18_свобода воля цепь давать сила"
"19",19,"19_муза певец слава дар поэт"
"20",20,"20_богатый жить дом служить бедный"
"21",21,"21_цветок роза цвет цвести венок"
"22",22,"22_слышать голос звук шум тихо"
"23",23,"23_белый грудь черный лицо кудри"
"24",24,"24_вода луг тень ручей роща"
"25",25,"25_взор око речь взгляд улыбка"
"26",26,"26_волна море берег вода брег"
"27",27,"27_сердце дума душа тоска полный"
"28",28,"28_счастие судьба пускай находить давать"
"29",29,"29_слово сказать говорить знать никто"
"30",30,"30_небо земля мир земной небесный"
"31",31,"31_враг смерть страшный ужасный кровь"
"32",32,"32_весна поле снег ветер зима"
"33",33,"33_красота прелестный милый прекрасный нежный"
"34",34,"34_слеза сердце плакать тоска печаль"
"35",35,"35_толпа свет смех игра забава"
"36",36,"36_знать говорить точно два очень"
"37",37,"37_огонь пламень грудь гореть око"
"38",38,"38_отец мать сын ребенок дитя"
"39",39,"39_ум труд свет наука глупец"
"40",40,"40_год время новый проходить день"
"41",41,"41_лев волк зверь собака большой"
"42",42,"42_душа мечта поэт живой восторг"
"43",43,"43_душа чувство мысль сердце немой"
"44",44,"44_жизнь смерть жить умирать блаженный"
"45",45,"45_дом сказать сын бог богиня"
"46",46,"46_стих писать читать перо поэт"
"47",47,"47_коль сие зреть любезный смертный"
"48",48,"48_тишина мирный тихий счастливый покой"
"49",49,"49_гроб могила прах земля мертвый"
"50",50,"50_петь песня звук песнь певец"
"51",51,"51_сидеть окно дверь дом стоять"
"52",52,"52_грудь уста сладкий нега слеза"
"53",53,"53_сон спать ночь просыпаться тишина"
"54",54,"54_жизнь радость надежда день мечта"
"55",55,"55_душа жизнь страсть страдание мука"
"56",56,"56_рука нога голова глаз подымать"
"57",57,"57_другой хотеть иной становиться говорить"
"58",58,"58_день ночь тень час утро"
"59",59,"59_сказать становиться хорошо говорить приходить"
"60",60,"60_путь идти пойти бежать вести"
"61",61,"61_правда суд закон дело зло"
"62",62,"62_знать хотеть ничто сказать бояться"
"63",63,"63_друг милый дружба верный счастливый"
"64",64,"64_милый ах забывать прощать друг"
"65",65,"65_край страна родной чужой далекий"
"66",66,"66_буря туча гром небо ветер"
"67",67,"67_лететь крыло орел птица летать"
"68",68,"68_зреть глава глас внимать вещать"
"69",69,"69_царь народ русский царство князь"
"70",70,"70_давать первый рука другой чей"
"71",71,"71_мир дух сила свет творец"
"72",72,"72_гора лес скала дикий стоять"
"73",73,"73_конь дорога поле бежать лететь"
"74",74,"74_луч солнце небо заря блистать"
"75",75,"75_сердце душа любовь дар радость"
